subject,group,CLJ,studytime,accuracy
1,B,39,2999,18
2,B,21,7771,25
3,B,43,2439,23
4,B,24,5541,22
5,B,16,4377,20
6,B,28,6188,14
7,B,45,4457,31
8,B,46,3701,20
9,B,69,7915,24
10,B,15,3223,6
11,B,38,3623,24
12,B,28,2197,12
13,B,50,4187,16
14,B,51,2311,24
15,B,8,3365,23
16,B,46,6461,15
17,B,25,4292,14
18,B,35,3405,24
19,B,59,3956,42
20,B,24,3674,19
21,B,48,5760,27
22,B,44,4624,13
23,B,33,2863,23
24,B,27,2348,6
25,B,51,4263,28
26,I,49,5853,30
27,I,70,3158,22
28,I,53,4790,33
29,I,46,3813,12
30,I,26,4455,21
31,I,49,3999,38
32,I,39,5968,16
33,I,23,6344,17
34,I,52,4880,11
35,I,81,4324,29
36,I,36,7488,18
37,I,52,3477,22
38,I,43,6786,21
39,I,19,7695,29
40,I,17,6905,19
41,I,37,5599,17
42,I,68,4574,28
43,I,41,4586,20
44,I,34,5831,35
45,I,22,5846,14
46,I,16,6548,14
47,I,58,4402,35
48,I,73,4126,30
49,I,77,3132,18
50,I,37,6339,37
51,BI,27,6917,23
52,BI,28,4646,8
53,BI,57,5031,19
54,BI,28,7134,38
55,BI,21,4074,24
56,BI,47,4452,28
57,BI,33,3321,12
58,BI,46,4330,25
59,BI,54,7559,12
60,BI,63,4013,32
61,BI,37,5690,19
62,BI,21,4545,20
63,BI,55,5277,27
64,BI,26,3712,25
65,BI,20,8000,24
66,BI,48,4032,32
67,BI,27,7959,16
68,BI,44,5127,16
69,BI,39,4431,13
70,BI,44,3454,21
71,BI,47,5697,30
72,BI,33,8000,23
73,BI,8,5900,5
74,BI,17,3466,18
75,BI,55,3860,20
76,IB,60,6628,33
77,IB,48,6144,18
78,IB,41,7954,37
79,IB,20,6887,20
80,IB,48,7810,11
81,IB,58,2491,32
82,IB,45,5380,13
83,IB,45,4138,30
84,IB,49,3527,18
85,IB,35,3472,7
86,IB,41,4963,27
87,IB,38,5475,18
88,IB,45,6189,24
89,IB,36,5227,26
90,IB,62,5158,14
91,IB,34,5428,13
92,IB,42,4567,21
93,IB,59,6318,35
94,IB,25,7247,25
95,IB,64,1493,18
96,IB,40,3456,25
97,IB,87,3990,34
98,IB,75,5274,34
99,IB,32,3942,24
100,IB,43,4745,23
