assistance,time1,time2,quality
Yes,180,240,medium
No,180,150,medium
No,180,180,high
Yes,180,300,high
Yes,120,120,medium
Yes,220,50,low
Yes,480,360,low
Yes,60,30,high
No,150,240,high
No,150,120,high
Yes,60,180,low
Yes,150,150,high
No,180,150,high
No,60,90,medium
No,120,120,medium
Yes,120,180,high
No,120,120,medium
Yes,720,140,high
No,60,15,medium
No,900,300,high
Yes,360,420,low
Yes,90,60,low
Yes,120,90,medium
Yes,120,120,low
No,120,180,low
No,250,90,low
Yes,90,90,high
Yes,80,80,low
Yes,240,240,high
No,180,180,high
No,300,200,high
No,120,60,low
No,180,100,medium
No,30,20,medium
Yes,200,200,medium
Yes,200,15,high
Yes,180,60,high
No,300,360,high
Yes,240,120,medium
No,360,120,low
No,150,90,high
No,780,240,high
Yes,1260,240,high
No,150,150,high
Yes,120,90,low
No,175,175,low
No,600,180,medium
No,480,600,high
No,120,160,low
